省代码,省名称,市代码,市名称,区代码,区名称,银行城市代码
650,新疆维吾尔自治区    ,8850,昌吉回族自治州                          ,8853,呼图壁县                                ,8853
650,新疆维吾尔自治区    ,8850,昌吉回族自治州                          ,8854,玛纳斯县                                ,8854
650,新疆维吾尔自治区    ,8850,昌吉回族自治州                          ,8855,奇台县                                  ,8855
650,新疆维吾尔自治区    ,8850,昌吉回族自治州                          ,8856,吉木萨尔县                              ,8857
650,新疆维吾尔自治区    ,8850,昌吉回族自治州                          ,8857,木垒哈萨克自治县                        ,8859
650,新疆维吾尔自治区    ,8870,博尔塔拉蒙古自治州                      ,8871,博乐市                                  ,8870
650,新疆维吾尔自治区    ,8870,博尔塔拉蒙古自治州                      ,8872,精河县                                  ,8872
650,新疆维吾尔自治区    ,8870,博尔塔拉蒙古自治州                      ,8873,温泉县                                  ,8873
110,北京市              ,1000,北京市                                  ,1000,东城区                                  ,1000
110,北京市              ,1000,北京市                                  ,1001,西城区                                  ,1000
110,北京市              ,1000,北京市                                  ,1004,朝阳区                                  ,1000
110,北京市              ,1000,北京市                                  ,1005,丰台区                                  ,1000
110,北京市              ,1000,北京市                                  ,1006,石景山区                                ,1000
110,北京市              ,1000,北京市                                  ,1007,海淀区                                  ,1000
110,北京市              ,1000,北京市                                  ,1008,门头沟区                                ,1000
110,北京市              ,1000,北京市                                  ,1009,房山区                                  ,1000
110,北京市              ,1000,北京市                                  ,100A,通州区                                  ,1000
110,北京市              ,1000,北京市                                  ,100B,顺义区                                  ,1000
110,北京市              ,1000,北京市                                  ,100C,昌平区                                  ,1000
110,北京市              ,1000,北京市                                  ,100D,大兴区                                  ,1000
110,北京市              ,1000,北京市                                  ,100E,怀柔区                                  ,1000
110,北京市              ,1000,北京市                                  ,100F,平谷区                                  ,1000
110,北京市              ,1000,北京市                                  ,100G,密云区                                  ,1000
110,北京市              ,1000,北京市                                  ,100H,延庆区                                  ,1000
120,天津市              ,1100,天津市                                  ,1100,和平区                                  ,1100
120,天津市              ,1100,天津市                                  ,1101,河东区                                  ,1100
120,天津市              ,1100,天津市                                  ,1102,河西区                                  ,1100
120,天津市              ,1100,天津市                                  ,1103,南开区                                  ,1100
120,天津市              ,1100,天津市                                  ,1104,河北区                                  ,1100
120,天津市              ,1100,天津市                                  ,1105,红桥区                                  ,1100
120,天津市              ,1100,天津市                                  ,1109,东丽区                                  ,1100
120,天津市              ,1100,天津市                                  ,110A,西青区                                  ,1100
120,天津市              ,1100,天津市                                  ,110B,津南区                                  ,1100
120,天津市              ,1100,天津市                                  ,110C,北辰区                                  ,1100
120,天津市              ,1100,天津市                                  ,110D,武清区                                  ,1100
120,天津市              ,1100,天津市                                  ,110E,宝坻区                                  ,1100
120,天津市              ,1100,天津市                                  ,110F,宁河区                                  ,1100
120,天津市              ,1100,天津市                                  ,110G,静海区                                  ,1100
120,天津市              ,1100,天津市                                  ,110H,蓟州区                                  ,1100
120,天津市              ,1100,天津市                                  ,110I,滨海新区                                ,1100
130,河北省              ,1210,石家庄市                                ,1211,长安区                                  ,1210
